HOME;AWAY;FTHG;FTAG;DIFF
Flamengo RJ;Cuiaba;1;1;0
Sao Paulo;Bragantino;2;0;2
Corinthians;Vitoria;3;2;1
Fluminense;Internacional;1;1;0
Bahia;Juventude;2;0;2
Gremio;Palmeiras;2;2;0
Athletico-PR;Sao Paulo;1;2;-1
Atletico-MG;Flamengo RJ;2;4;-2
Bragantino;Atletico GO;3;1;2
Criciuma;Cruzeiro;1;0;1
Vasco;Fortaleza;2;0;2
Cuiaba;Botafogo RJ;1;2;-1
Palmeiras;Corinthians;2;0;2
Criciuma;Internacional;1;1;0
Flamengo RJ;Cruzeiro;2;1;1
Vitoria;Athletico-PR;0;1;-1
Fortaleza;Juventude;2;1;1
Gremio;Fluminense;1;0;1
Sao Paulo;Bahia;3;1;2
Atletico-MG;Atletico GO;1;1;0
Cuiaba;Bragantino;1;1;0
Vasco;Botafogo RJ;1;1;0
Sao Paulo;Criciuma;2;1;1
Fluminense;Vitoria;0;1;-1
Bahia;Vasco;2;1;1
Fortaleza;Palmeiras;3;0;3
Internacional;Atletico-MG;1;2;-1
Atletico GO;Gremio;1;1;0
Corinthians;Cuiaba;1;1;0
Juventude;Flamengo RJ;2;1;1
Botafogo RJ;Bragantino;2;1;1
Cruzeiro;Athletico-PR;2;0;2
Atletico-MG;Fortaleza;1;1;0
Bragantino;Vitoria;2;1;1
Palmeiras;Juventude;3;1;2
Athletico-PR;Corinthians;1;1;0
Bahia;Cruzeiro;4;1;3
Fluminense;Flamengo RJ;0;1;-1
Vasco;Sao Paulo;4;1;3
Cuiaba;Atletico GO;0;0;0
Gremio;Internacional;0;1;-1
Criciuma;Botafogo RJ;2;1;1
Palmeiras;Bragantino;2;1;1
Flamengo RJ;Bahia;2;1;1
Vitoria;Atletico-MG;4;2;2
Cruzeiro;Fluminense;2;0;2
Internacional;Corinthians;1;0;1
Fortaleza;Gremio;1;0;1
Juventude;Vasco;2;0;2
Sao Paulo;Cuiaba;0;1;-1
Atletico GO;Criciuma;1;2;-1
Botafogo RJ;Athletico-PR;1;1;0
Atletico-MG;Palmeiras;0;4;-4
Criciuma;Bahia;2;2;0
Cuiaba;Fortaleza;5;0;5
Gremio;Botafogo RJ;1;2;-1
Vasco;Cruzeiro;0;0;0
Athletico-PR;Flamengo RJ;1;1;0
Corinthians;Sao Paulo;2;2;0
Vitoria;Internacional;2;1;1
Fluminense;Atletico GO;1;2;-1
Bragantino;Juventude;2;1;1
Bahia;Fortaleza;1;0;1
Palmeiras;Vasco;2;0;2
Athletico-PR;Criciuma;3;1;2
Flamengo RJ;Gremio;2;1;1
Internacional;Sao Paulo;0;0;0
Cruzeiro;Cuiaba;2;1;1
Bragantino;Atletico-MG;1;2;-1
Botafogo RJ;Fluminense;1;0;1
Atletico GO;Corinthians;2;2;0
Juventude;Vitoria;1;1;0
Criciuma;Cuiaba;2;5;-3
Cuiaba;Vitoria;0;0;0
Juventude;Atletico GO;1;0;1
Fortaleza;Athletico-PR;1;0;1
Sao Paulo;Cruzeiro;2;0;2
Atletico-MG;Bahia;1;1;0
Criciuma;Palmeiras;1;2;-1
Vasco;Flamengo RJ;1;6;-5
Corinthians;Botafogo RJ;0;1;-1
Cuiaba;Internacional;0;1;-1
Fluminense;Juventude;1;1;0
Gremio;Bragantino;0;2;-2
Vitoria;Atletico GO;0;2;-2
Sao Paulo;Fluminense;2;1;1
Bahia;Bragantino;1;0;1
Vasco;Vitoria;2;1;1
Atletico GO;Cruzeiro;0;1;-1
Fortaleza;Botafogo RJ;1;1;0
Palmeiras;Athletico-PR;0;2;-2
Flamengo RJ;Corinthians;2;0;2
Botafogo RJ;Bahia;1;2;-1
Cuiaba;Palmeiras;0;2;-2
Athletico-PR;Vasco;1;0;1
Vitoria;Sao Paulo;1;3;-2
Corinthians;Fortaleza;0;0;0
Bragantino;Flamengo RJ;1;1;0
Fluminense;Atletico-MG;2;2;0
Sao Paulo;Palmeiras;0;0;0
Internacional;Atletico GO;1;1;0
Fortaleza;Bragantino;1;1;0
Juventude;Athletico-PR;1;1;0
Corinthians;Fluminense;3;0;3
Cruzeiro;Vitoria;3;1;2
Flamengo RJ;Botafogo RJ;0;2;-2
Bahia;Gremio;1;0;1
